commute_route,daily_km,flights_per_year,transport_co2_kg,pc_type,gaming_hours,study_hours,phone_model,phone_charges_day,heating_type,tech_co2_kg,dj_hours_day,board_games_month,streaming_hours,recycling_habit,shower_minutes,pets,housework_freq,lifestyle_co2_kg,clothing_items_month,fashion_style,perfume_shipping,fashion_co2_kg,diet_type,coffee_cups_day,smoker,food_delivery,plastic_water,diet_co2_kg,total_daily_co2_kg
Electric Scooter / E-Bike,18.4,2,1.646,Standard Office Laptop,6.9,6.8,Mid-Range Phone (4500 mAh),2,Apartment (Natural Gas),4.51,3.0,1,3.4,Never,7.0,Medium/Large Dog,Medium (3-4 cycles/wk),3.874,4,Fast Fashion,Frequently (monthly),2.014,Heavy Meat Eater,1,No,Sometimes (1-2/week),Tap / Filtered (0),7.06,19.104
Personal Car (Gasoline),54.0,0,10.368,Mid-Range Gaming Laptop,0.3,4.5,Mid-Range Phone (4500 mAh),2,Dormitory (Shared),1.78,0.0,2,0.8,Strict Recycler,17.0,Cat (Indoor),Medium (3-4 cycles/wk),1.677,1,Streetwear / Heavy Denim,Rarely (1-2/yr),0.651,Moderate Meat,4,Yes,Rarely (1-2/month),Tap / Filtered (0),6.165,20.642
Ferry + Bus,2.9,2,1.645,Desktop Office PC,4.6,2.8,Mid-Range Phone (4500 mAh),1,Apartment (Electric),4.158,0.0,1,3.2,Sometimes,7.0,Medium/Large Dog,High (5+ cycles/wk),3.471,4,Fast Fashion,Never,2.0,Vegetarian,2,No,Never,3-4 bottles/day,3.9,15.175
Personal Car (Diesel),38.3,2,7.919,Tablet Only,1.6,3.5,Flagship Phone (5000 mAh),1,Apartment (Electric),3.848,4.0,0,0.9,Never,9.0,Small Dog,Medium (3-4 cycles/wk),2.394,4,Minimal / Capsule,Never,1.0,Vegetarian,5,Yes,Rarely (1-2/month),Tap / Filtered (0),4.425,19.585
Personal Car (Gasoline),13.1,2,3.885,Standard Office Laptop,2.7,5.4,Budget Phone (4000 mAh),1,Dormitory (Shared),1.68,0.0,1,3.5,Sometimes,16.0,Cat (Indoor),High (5+ cycles/wk),2.738,4,Fast Fashion,Never,2.0,Vegetarian,5,No,Frequently (3+/week),1-2 bottles/day,4.187,14.489
Personal Car (Gasoline),3.8,1,1.415,Tablet Only,1.8,2.9,Budget Phone (4000 mAh),1,Apartment (Natural Gas),4.242,0.0,1,0.0,Never,12.0,None,Low (1-2 cycles/wk),1.474,7,Fast Fashion,Sometimes (3-6/yr),3.505,Pescatarian,4,No,Sometimes (1-2/week),1-2 bottles/day,4.96,15.595
Marmaray + Metro (cross-city),20.0,0,0.56,Standard Office Laptop,1.6,5.6,Mid-Range Phone (4500 mAh),1,Apartment (Electric),3.963,0.0,0,0.2,Never,3.0,None,Medium (3-4 cycles/wk),0.561,8,Fast Fashion,Frequently (monthly),4.014,Vegetarian,5,No,Frequently (3+/week),1-2 bottles/day,4.187,13.284
Ferry + Bus,12.0,1,1.825,Standard Office Laptop,4.5,3.2,Flagship Phone (5000 mAh),3,Dormitory (Shared),1.698,2.0,3,4.2,Never,21.0,Cat (Indoor),High (5+ cycles/wk),4.157,3,Streetwear / Heavy Denim,Never,1.95,Moderate Meat,3,Yes,Rarely (1-2/month),Tap / Filtered (0),6.105,15.735
Electric Scooter / E-Bike,22.3,1,1.019,Ultrabook / Thin Laptop,3.5,2.6,Flagship Phone (5000 mAh),1,Apartment (Natural Gas),4.298,1.0,0,2.2,Sometimes,9.0,None,Dormitory / Outsourced,0.644,3,Streetwear / Heavy Denim,Rarely (1-2/yr),1.951,Pescatarian,4,Yes,Frequently (3+/week),1-2 bottles/day,5.727,13.64
Metrobüs,30.2,1,2.648,Mid-Range Gaming Laptop,1.7,3.3,Flagship Phone (5000 mAh),1,Dormitory (Shared),1.782,0.0,0,1.5,Sometimes,10.0,Cat (Indoor),High (5+ cycles/wk),1.861,4,Fast Fashion,Sometimes (3-6/yr),2.005,Vegetarian,3,No,Rarely (1-2/month),Tap / Filtered (0),3.705,12.001
Metrobüs,5.2,3,2.393,Ultrabook / Thin Laptop,0.3,1.6,Flagship Phone (5000 mAh),2,Apartment (Natural Gas),4.25,1.0,5,4.9,Never,13.0,None,High (5+ cycles/wk),2.855,4,Vintage / Thrift,Never,0.6,Moderate Meat,5,No,Rarely (1-2/month),Tap / Filtered (0),5.625,15.723
Electric Scooter / E-Bike,30.3,1,1.139,Desktop Gaming PC,0.3,0.7,Flagship Phone (5000 mAh),2,Dormitory (Shared),1.688,0.0,0,3.5,Sometimes,15.0,None,Medium (3-4 cycles/wk),1.442,9,Designer / Luxury,Rarely (1-2/yr),6.751,Heavy Meat Eater,1,No,Rarely (1-2/month),1-2 bottles/day,7.105,18.126
Electric Scooter / E-Bike,14.9,0,0.224,Ultrabook / Thin Laptop,4.0,3.9,Flagship Phone (5000 mAh),2,Apartment (Electric),3.935,1.0,3,4.3,Sometimes,22.0,Cat (Indoor),Low (1-2 cycles/wk),3.417,5,Minimal / Capsule,Sometimes (3-6/yr),1.255,Moderate Meat,1,Yes,Frequently (3+/week),3-4 bottles/day,6.507,15.338
Ferry + Bus,38.4,0,3.648,Tablet Only,1.9,3.9,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),1.551,0.0,4,2.8,Sometimes,4.0,Small Dog,Medium (3-4 cycles/wk),2.071,2,Minimal / Capsule,Sometimes (3-6/yr),0.505,Pescatarian,1,No,Rarely (1-2/month),Tap / Filtered (0),4.585,12.36
Electric Scooter / E-Bike,12.9,1,0.878,Tablet Only,1.6,4.4,Budget Phone (4000 mAh),1,Dormitory (Shared),1.551,0.0,2,7.0,Sometimes,16.0,None,Dormitory / Outsourced,1.918,4,Fast Fashion,Rarely (1-2/yr),2.001,Heavy Meat Eater,3,No,Rarely (1-2/month),Tap / Filtered (0),7.105,13.454
Marmaray + Metro (cross-city),10.7,1,0.985,Desktop Gaming PC,2.9,3.9,Budget Phone (4000 mAh),2,Apartment (Electric),4.936,4.0,0,2.1,Never,16.0,Small Dog,Dormitory / Outsourced,3.01,4,Designer / Luxury,Sometimes (3-6/yr),3.005,Heavy Meat Eater,1,No,Never,1-2 bottles/day,7.08,19.015
Personal Car (Diesel),15.2,2,3.969,High-End Gaming Laptop,4.9,7.5,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),2.326,0.0,1,5.6,Strict Recycler,11.0,Cat (Indoor),Dormitory / Outsourced,1.025,5,Streetwear / Heavy Denim,Rarely (1-2/yr),3.251,Moderate Meat,0,No,Rarely (1-2/month),Tap / Filtered (0),5.325,15.896
Electric Scooter / E-Bike,16.0,1,0.925,High-End Gaming Laptop,2.5,4.3,Budget Phone (4000 mAh),2,Dormitory (Shared),1.964,1.0,0,2.9,Strict Recycler,16.0,None,Low (1-2 cycles/wk),0.39,4,Streetwear / Heavy Denim,Never,2.6,Heavy Meat Eater,2,No,Frequently (3+/week),1-2 bottles/day,7.407,13.286
Metrobüs,9.4,2,1.981,Desktop Gaming PC,3.6,1.9,Flagship Phone (5000 mAh),3,Dormitory (Shared),2.44,0.0,0,0.5,Never,17.0,None,Medium (3-4 cycles/wk),1.978,2,Streetwear / Heavy Denim,Never,1.3,Vegetarian,2,No,Rarely (1-2/month),5+ bottles/day,4.045,11.743
Electric Scooter / E-Bike,10.5,3,2.212,Desktop Gaming PC,3.6,2.3,Flagship Phone (5000 mAh),2,Dormitory (Shared),2.494,0.0,2,3.7,Never,5.0,None,High (5+ cycles/wk),1.465,0,Fast Fashion,Rarely (1-2/yr),0.001,Moderate Meat,2,No,Sometimes (1-2/week),5+ bottles/day,5.92,12.093
Marmaray + Metro (cross-city),6.3,2,1.546,Ultrabook / Thin Laptop,1.1,4.0,Budget Phone (4000 mAh),1,Family Home (High Usage),6.58,0.0,3,3.5,Sometimes,21.0,None,High (5+ cycles/wk),2.721,3,Streetwear / Heavy Denim,Never,1.95,Heavy Meat Eater,3,No,Frequently (3+/week),Tap / Filtered (0),7.347,20.144
Walking / Cycling,11.0,0,0.0,Desktop Gaming PC,0.8,3.3,Flagship Phone (5000 mAh),2,Apartment (Electric),4.498,3.0,2,1.4,Sometimes,4.0,None,High (5+ cycles/wk),0.809,3,Fast Fashion,Never,1.5,Pescatarian,1,No,Rarely (1-2/month),1-2 bottles/day,4.705,11.512
Walking / Cycling,23.9,2,1.37,Mid-Range Gaming Laptop,4.0,2.2,Flagship Phone (5000 mAh),2,Dormitory (Shared),1.859,0.0,1,1.6,Sometimes,6.0,None,High (5+ cycles/wk),0.783,1,Vintage / Thrift,Sometimes (3-6/yr),0.155,Vegetarian,6,No,Sometimes (1-2/week),3-4 bottles/day,4.24,8.407
Personal Car (Gasoline),13.5,0,2.592,High-End Gaming Laptop,1.2,3.9,Budget Phone (4000 mAh),1,Apartment (Natural Gas),4.544,0.0,5,3.0,Sometimes,11.0,None,Medium (3-4 cycles/wk),1.848,6,Fast Fashion,Rarely (1-2/yr),3.001,Heavy Meat Eater,3,No,Rarely (1-2/month),Tap / Filtered (0),7.105,19.091
Bus Only,30.2,0,3.171,High-End Gaming Laptop,5.8,3.9,Mid-Range Phone (4500 mAh),2,Apartment (Natural Gas),4.859,0.0,0,3.5,Never,22.0,Cat (Indoor),Low (1-2 cycles/wk),3.35,3,Vintage / Thrift,Never,0.45,Moderate Meat,6,No,Frequently (3+/week),1-2 bottles/day,6.047,17.876
Personal Car (Diesel),13.1,1,2.925,Desktop Office PC,0.2,6.4,Budget Phone (4000 mAh),3,Family Home (High Usage),6.836,0.0,0,0.0,Strict Recycler,10.0,None,Medium (3-4 cycles/wk),-0.25,8,Fast Fashion,Never,4.0,Vegan,0,No,Never,Tap / Filtered (0),2.6,16.111
Personal Car (Hybrid),5.5,1,1.29,Desktop Gaming PC,0.1,2.6,Budget Phone (4000 mAh),1,Dormitory (Shared),1.953,0.0,2,4.6,Strict Recycler,12.0,Cat (Indoor),Low (1-2 cycles/wk),1.243,2,Streetwear / Heavy Denim,Rarely (1-2/yr),1.301,Moderate Meat,3,Yes,Sometimes (1-2/week),Tap / Filtered (0),6.18,11.967
Personal Car (Gasoline),22.6,0,4.339,Standard Office Laptop,6.5,3.4,Budget Phone (4000 mAh),1,Apartment (Natural Gas),4.418,2.0,0,2.3,Sometimes,19.0,None,Medium (3-4 cycles/wk),1.824,1,Streetwear / Heavy Denim,Rarely (1-2/yr),0.651,Vegan,4,Yes,Sometimes (1-2/week),5+ bottles/day,3.94,15.172
Walking / Cycling,9.3,0,0.0,Standard Office Laptop,2.6,6.4,Budget Phone (4000 mAh),1,Apartment (Natural Gas),4.399,3.0,1,1.0,Sometimes,10.0,Cat (Indoor),Low (1-2 cycles/wk),1.749,4,Streetwear / Heavy Denim,Rarely (1-2/yr),2.601,Moderate Meat,6,No,Rarely (1-2/month),1-2 bottles/day,5.805,14.554
Metrobüs,12.6,0,0.819,Desktop Gaming PC,1.2,4.5,Mid-Range Phone (4500 mAh),1,Apartment (Natural Gas),5.148,0.0,0,4.4,Strict Recycler,6.0,Small Dog,Medium (3-4 cycles/wk),0.692,2,Streetwear / Heavy Denim,Sometimes (3-6/yr),1.305,Moderate Meat,4,Yes,Rarely (1-2/month),Tap / Filtered (0),6.165,14.129
Personal Car (Hybrid),35.4,3,5.949,Mid-Range Gaming Laptop,3.5,2.6,Mid-Range Phone (4500 mAh),1,Apartment (Natural Gas),4.54,2.0,3,3.0,Strict Recycler,10.0,None,High (5+ cycles/wk),0.641,9,Vintage / Thrift,Never,1.35,Moderate Meat,0,No,Rarely (1-2/month),3-4 bottles/day,5.605,18.084
Personal Car (Gasoline),6.6,0,1.267,Standard Office Laptop,2.8,2.9,Flagship Phone (5000 mAh),1,Dormitory (Shared),1.632,1.0,4,4.8,Never,19.0,Small Dog,Dormitory / Outsourced,4.054,0,Designer / Luxury,Never,0.0,Heavy Meat Eater,3,No,Never,1-2 bottles/day,7.2,14.154
Personal Car (Hybrid),16.7,0,1.837,Desktop Office PC,1.9,2.2,Flagship Phone (5000 mAh),1,Apartment (Electric),4.004,0.0,5,3.7,Strict Recycler,12.0,Cat (Indoor),Dormitory / Outsourced,1.687,3,Fast Fashion,Never,1.5,Vegan,6,No,Sometimes (1-2/week),3-4 bottles/day,3.34,12.368
Ferry + Bus,14.5,1,2.062,Tablet Only,0.3,4.1,Budget Phone (4000 mAh),1,Apartment (Natural Gas),4.239,0.0,0,3.0,Never,22.0,Cat (Indoor),Medium (3-4 cycles/wk),3.465,8,Fast Fashion,Never,4.0,Vegan,6,Yes,Frequently (3+/week),Tap / Filtered (0),3.827,17.594
Bus Only,24.3,1,3.236,Desktop Gaming PC,4.2,5.5,Flagship Phone (5000 mAh),1,Family Home (High Usage),8.107,0.0,1,2.8,Sometimes,16.0,Cat (Indoor),Low (1-2 cycles/wk),2.378,3,Minimal / Capsule,Frequently (monthly),0.764,Vegan,2,No,Sometimes (1-2/week),Tap / Filtered (0),2.82,17.305
Ferry + Bus,27.1,3,4.629,Mid-Range Gaming Laptop,5.0,6.4,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),2.127,0.0,3,3.7,Sometimes,9.0,None,Low (1-2 cycles/wk),1.211,1,Streetwear / Heavy Denim,Rarely (1-2/yr),0.651,Vegetarian,3,No,Rarely (1-2/month),Tap / Filtered (0),3.705,12.323
Personal Car (Hybrid),17.9,0,1.969,Mid-Range Gaming Laptop,0.5,1.8,Flagship Phone (5000 mAh),1,Apartment (Natural Gas),4.336,2.0,3,2.4,Sometimes,12.0,None,Dormitory / Outsourced,1.479,3,Streetwear / Heavy Denim,Rarely (1-2/yr),1.951,Vegetarian,3,No,Never,1-2 bottles/day,3.8,13.535
Ferry + Bus,11.6,1,1.787,Ultrabook / Thin Laptop,4.8,5.3,Flagship Phone (5000 mAh),1,Family Home (High Usage),6.654,1.0,0,1.7,Sometimes,8.0,None,Medium (3-4 cycles/wk),0.667,4,Fast Fashion,Sometimes (3-6/yr),2.005,Pescatarian,2,No,Never,Tap / Filtered (0),4.62,15.734
Marmaray + Metro (cross-city),20.7,1,1.265,Mid-Range Gaming Laptop,5.3,4.2,Flagship Phone (5000 mAh),1,Apartment (Natural Gas),4.725,3.0,1,3.9,Sometimes,9.0,None,Low (1-2 cycles/wk),0.959,2,Vintage / Thrift,Never,0.3,Vegetarian,6,No,Rarely (1-2/month),Tap / Filtered (0),3.885,11.134
Walking / Cycling,37.9,4,2.74,Standard Office Laptop,2.0,3.6,Budget Phone (4000 mAh),1,Apartment (Electric),3.927,3.0,0,2.8,Sometimes,34.0,None,Dormitory / Outsourced,3.225,3,Vintage / Thrift,Never,0.45,Moderate Meat,5,No,Frequently (3+/week),5+ bottles/day,6.267,16.608
Marmaray + Metro (cross-city),14.6,1,1.094,Tablet Only,2.7,3.4,Flagship Phone (5000 mAh),2,Apartment (Electric),3.867,1.0,3,3.1,Never,17.0,Small Dog,Medium (3-4 cycles/wk),3.744,7,Designer / Luxury,Sometimes (3-6/yr),5.255,Moderate Meat,6,No,Frequently (3+/week),3-4 bottles/day,6.207,20.166
Electric Scooter / E-Bike,12.3,2,1.554,Standard Office Laptop,1.2,1.1,Mid-Range Phone (4500 mAh),3,Dormitory (Shared),1.58,1.0,3,4.6,Never,16.0,None,Dormitory / Outsourced,2.476,7,Streetwear / Heavy Denim,Sometimes (3-6/yr),4.555,Pescatarian,4,No,Rarely (1-2/month),1-2 bottles/day,4.885,15.051
Ferry + Bus,19.5,0,1.852,Desktop Gaming PC,0.8,5.0,Mid-Range Phone (4500 mAh),2,Apartment (Natural Gas),5.175,0.0,0,2.8,Sometimes,9.0,Medium/Large Dog,Medium (3-4 cycles/wk),3.304,0,Fast Fashion,Rarely (1-2/yr),0.001,Vegetarian,3,No,Rarely (1-2/month),3-4 bottles/day,3.985,14.318
Electric Scooter / E-Bike,15.3,1,0.914,Tablet Only,3.2,2.0,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),1.547,4.0,0,3.0,Sometimes,20.0,None,Medium (3-4 cycles/wk),2.009,2,Streetwear / Heavy Denim,Rarely (1-2/yr),1.301,Pescatarian,2,No,Sometimes (1-2/week),3-4 bottles/day,5.0,10.772
Metrobüs,5.8,1,1.062,Desktop Gaming PC,4.9,2.9,Mid-Range Phone (4500 mAh),2,Apartment (Natural Gas),5.504,0.0,0,2.1,Never,17.0,None,Medium (3-4 cycles/wk),2.066,2,Designer / Luxury,Sometimes (3-6/yr),1.505,Vegetarian,2,Yes,Sometimes (1-2/week),1-2 bottles/day,4.44,14.577
Personal Car (Diesel),17.6,3,5.064,Mid-Range Gaming Laptop,2.7,4.6,Flagship Phone (5000 mAh),2,Dormitory (Shared),1.918,2.0,0,3.6,Sometimes,21.0,None,Dormitory / Outsourced,1.945,4,Minimal / Capsule,Never,1.0,Moderate Meat,5,No,Sometimes (1-2/week),1-2 bottles/day,5.82,15.747
Metrobüs,5.8,0,0.377,Desktop Office PC,1.8,1.3,Budget Phone (4000 mAh),1,Apartment (Natural Gas),4.354,4.0,2,3.5,Never,21.0,None,Dormitory / Outsourced,2.82,3,Fast Fashion,Never,1.5,Vegetarian,2,No,Sometimes (1-2/week),3-4 bottles/day,4.0,13.051
Personal Car (Hybrid),19.3,0,2.123,High-End Gaming Laptop,0.4,2.0,Mid-Range Phone (4500 mAh),1,Apartment (Natural Gas),4.368,0.0,1,4.4,Never,5.0,Medium/Large Dog,High (5+ cycles/wk),3.837,7,Streetwear / Heavy Denim,Never,4.55,Vegan,3,No,Never,1-2 bottles/day,2.9,17.778
Walking / Cycling,8.5,1,0.685,Tablet Only,0.1,5.8,Mid-Range Phone (4500 mAh),1,Apartment (Natural Gas),4.252,0.0,0,2.1,Strict Recycler,6.0,Cat (Indoor),Medium (3-4 cycles/wk),0.316,5,Fast Fashion,Rarely (1-2/yr),2.501,Heavy Meat Eater,3,No,Frequently (3+/week),Tap / Filtered (0),7.347,15.1
Ferry + Bus,15.3,0,1.454,Ultrabook / Thin Laptop,1.5,4.2,Budget Phone (4000 mAh),2,Dormitory (Shared),1.597,2.0,0,2.3,Sometimes,7.0,None,Medium (3-4 cycles/wk),0.624,1,Streetwear / Heavy Denim,Never,0.65,Vegan,1,No,Never,Tap / Filtered (0),2.66,6.984
Personal Car (Gasoline),19.6,0,3.763,High-End Gaming Laptop,0.1,3.0,Budget Phone (4000 mAh),1,Family Home (High Usage),6.712,0.0,3,4.2,Sometimes,7.0,Small Dog,Dormitory / Outsourced,2.131,4,Fast Fashion,Rarely (1-2/yr),2.001,Moderate Meat,2,No,Rarely (1-2/month),1-2 bottles/day,5.565,20.173
Personal Car (Diesel),82.9,4,16.916,Mid-Range Gaming Laptop,2.1,4.2,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),1.851,0.0,0,3.4,Never,14.0,Cat (Indoor),High (5+ cycles/wk),2.866,1,Fast Fashion,Sometimes (3-6/yr),0.505,Pescatarian,1,No,Frequently (3+/week),3-4 bottles/day,5.107,27.244
Bus Only,25.0,1,3.31,Mid-Range Gaming Laptop,1.2,5.0,Mid-Range Phone (4500 mAh),2,Dormitory (Shared),1.856,0.0,2,1.6,Sometimes,9.0,None,High (5+ cycles/wk),1.25,2,Minimal / Capsule,Rarely (1-2/yr),0.501,Vegetarian,5,No,Rarely (1-2/month),1-2 bottles/day,3.945,10.862
Bus Only,38.7,1,4.748,High-End Gaming Laptop,3.5,5.7,Budget Phone (4000 mAh),1,Dormitory (Shared),2.114,0.0,3,5.0,Never,22.0,Cat (Indoor),Medium (3-4 cycles/wk),4.075,2,Fast Fashion,Never,1.0,Moderate Meat,6,No,Never,3-4 bottles/day,5.94,17.877
Bus Only,55.2,2,7.166,Ultrabook / Thin Laptop,0.9,2.3,Mid-Range Phone (4500 mAh),1,Family Home (High Usage),6.555,0.0,3,0.5,Sometimes,22.0,Cat (Indoor),Medium (3-4 cycles/wk),3.328,2,Streetwear / Heavy Denim,Rarely (1-2/yr),1.301,Moderate Meat,0,No,Rarely (1-2/month),3-4 bottles/day,5.605,23.955
Ferry + Bus,21.0,1,2.68,Tablet Only,2.2,2.5,Mid-Range Phone (4500 mAh),3,Family Home (High Usage),6.564,0.0,0,4.2,Strict Recycler,12.0,None,Medium (3-4 cycles/wk),0.181,4,Streetwear / Heavy Denim,Sometimes (3-6/yr),2.605,Moderate Meat,6,No,Sometimes (1-2/week),Tap / Filtered (0),5.76,17.791
Bus Only,18.2,0,1.911,Tablet Only,1.9,4.9,Flagship Phone (5000 mAh),1,Apartment (Natural Gas),4.26,2.0,3,1.1,Strict Recycler,22.0,Cat (Indoor),High (5+ cycles/wk),2.586,4,Streetwear / Heavy Denim,Never,2.6,Heavy Meat Eater,2,No,Never,1-2 bottles/day,7.14,18.497
Marmaray + Metro (cross-city),7.1,0,0.199,High-End Gaming Laptop,0.0,5.0,Budget Phone (4000 mAh),2,Apartment (Electric),4.146,1.0,0,5.8,Sometimes,19.0,None,Dormitory / Outsourced,1.843,2,Streetwear / Heavy Denim,Never,1.3,Moderate Meat,2,Yes,Rarely (1-2/month),Tap / Filtered (0),6.045,13.532
Personal Car (Diesel),13.7,1,3.028,Desktop Gaming PC,0.2,2.0,Flagship Phone (5000 mAh),1,Dormitory (Shared),1.874,2.0,0,0.7,Sometimes,10.0,None,Medium (3-4 cycles/wk),0.836,11,Designer / Luxury,Rarely (1-2/yr),8.251,Moderate Meat,5,No,Rarely (1-2/month),1-2 bottles/day,5.745,19.733
Marmaray + Metro (cross-city),9.0,1,0.937,Standard Office Laptop,0.9,2.5,Flagship Phone (5000 mAh),1,Family Home (High Usage),6.584,0.0,0,4.7,Sometimes,3.0,None,Medium (3-4 cycles/wk),0.309,3,Streetwear / Heavy Denim,Never,1.95,Vegan,0,Yes,Sometimes (1-2/week),3-4 bottles/day,3.58,13.359
Personal Car (Diesel),11.2,1,2.6,Desktop Office PC,5.3,3.7,Budget Phone (4000 mAh),2,Dormitory (Shared),1.94,0.0,2,2.9,Sometimes,11.0,Medium/Large Dog,Medium (3-4 cycles/wk),3.843,1,Minimal / Capsule,Frequently (monthly),0.264,Heavy Meat Eater,1,No,Never,1-2 bottles/day,7.08,15.727
Marmaray + Metro (cross-city),55.1,0,1.543,Desktop Gaming PC,0.4,4.0,Flagship Phone (5000 mAh),1,Dormitory (Shared),2.236,0.0,3,2.5,Strict Recycler,9.0,Cat (Indoor),Low (1-2 cycles/wk),0.995,1,Fast Fashion,Rarely (1-2/yr),0.501,Moderate Meat,0,No,Sometimes (1-2/week),3-4 bottles/day,5.68,10.954
Personal Car (Diesel),16.1,1,3.438,Tablet Only,3.1,4.1,Mid-Range Phone (4500 mAh),2,Dormitory (Shared),1.571,2.0,0,3.3,Strict Recycler,13.0,None,Dormitory / Outsourced,0.128,4,Fast Fashion,Never,2.0,Vegan,0,Yes,Rarely (1-2/month),Tap / Filtered (0),3.225,10.363
Electric Scooter / E-Bike,8.1,3,2.176,Standard Office Laptop,9.1,2.0,Flagship Phone (5000 mAh),2,Apartment (Natural Gas),4.458,2.0,0,3.9,Never,12.0,None,Medium (3-4 cycles/wk),1.712,10,Fast Fashion,Sometimes (3-6/yr),5.005,Vegan,0,No,Sometimes (1-2/week),1-2 bottles/day,2.82,16.172
Ferry + Bus,38.9,2,5.065,Desktop Office PC,3.9,4.1,Budget Phone (4000 mAh),1,Apartment (Electric),4.184,0.0,2,1.6,Sometimes,12.0,None,Dormitory / Outsourced,1.221,4,Vintage / Thrift,Rarely (1-2/yr),0.601,Vegetarian,1,No,Rarely (1-2/month),Tap / Filtered (0),3.585,14.658
Ferry + Bus,29.0,2,4.125,Desktop Office PC,0.7,2.9,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),1.68,4.0,3,1.8,Sometimes,15.0,Cat (Indoor),High (5+ cycles/wk),2.972,9,Fast Fashion,Never,4.5,Pescatarian,2,No,Sometimes (1-2/week),1-2 bottles/day,4.84,18.116
Bus Only,30.1,2,4.53,Desktop Office PC,6.0,2.3,Mid-Range Phone (4500 mAh),3,Family Home (High Usage),6.921,2.0,1,4.0,Never,6.0,None,High (5+ cycles/wk),1.462,3,Fast Fashion,Never,1.5,Moderate Meat,6,Yes,Sometimes (1-2/week),1-2 bottles/day,6.48,20.894
Metrobüs,3.7,1,0.925,Mid-Range Gaming Laptop,0.2,4.0,Mid-Range Phone (4500 mAh),3,Apartment (Natural Gas),4.458,0.0,5,0.4,Never,14.0,Cat (Indoor),Dormitory / Outsourced,3.205,3,Fast Fashion,Rarely (1-2/yr),1.501,Moderate Meat,1,No,Never,1-2 bottles/day,5.48,15.57
Bus Only,58.2,2,7.481,Desktop Office PC,1.6,3.8,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),1.764,1.0,4,2.1,Strict Recycler,10.0,Small Dog,High (5+ cycles/wk),1.834,4,Minimal / Capsule,Never,1.0,Heavy Meat Eater,0,No,Sometimes (1-2/week),Tap / Filtered (0),7.0,19.079
Personal Car (Hybrid),10.1,0,1.111,Ultrabook / Thin Laptop,5.5,5.2,Flagship Phone (5000 mAh),1,Apartment (Natural Gas),4.363,0.0,1,7.6,Sometimes,13.0,Cat (Indoor),Dormitory / Outsourced,2.335,5,Fast Fashion,Never,2.5,Vegetarian,2,Yes,Frequently (3+/week),Tap / Filtered (0),4.487,14.795
Marmaray + Metro (cross-city),25.7,1,1.405,High-End Gaming Laptop,2.6,2.7,Flagship Phone (5000 mAh),3,Apartment (Natural Gas),4.584,1.0,0,1.5,Never,17.0,None,Low (1-2 cycles/wk),1.913,3,Fast Fashion,Never,1.5,Moderate Meat,3,No,Never,1-2 bottles/day,5.6,15.002
Personal Car (Diesel),87.1,1,15.579,Tablet Only,1.3,4.4,Mid-Range Phone (4500 mAh),3,Apartment (Electric),3.871,1.0,5,4.7,Never,6.0,None,High (5+ cycles/wk),2.144,7,Fast Fashion,Never,3.5,Pescatarian,1,No,Sometimes (1-2/week),1-2 bottles/day,4.78,29.874
Metrobüs,67.3,0,4.374,Ultrabook / Thin Laptop,0.9,1.6,Budget Phone (4000 mAh),2,Apartment (Natural Gas),4.252,2.0,0,2.1,Never,11.0,None,High (5+ cycles/wk),1.691,0,Streetwear / Heavy Denim,Sometimes (3-6/yr),0.005,Moderate Meat,1,Yes,Sometimes (1-2/week),1-2 bottles/day,6.18,16.503
Personal Car (Hybrid),7.5,2,2.195,High-End Gaming Laptop,1.2,3.6,Mid-Range Phone (4500 mAh),1,Apartment (Natural Gas),4.526,0.0,3,3.8,Sometimes,11.0,Cat (Indoor),Medium (3-4 cycles/wk),2.409,3,Streetwear / Heavy Denim,Sometimes (3-6/yr),1.955,Moderate Meat,6,No,Never,1-2 bottles/day,5.78,16.866
Ferry + Bus,5.4,3,2.568,Desktop Gaming PC,1.8,4.7,Flagship Phone (5000 mAh),3,Dormitory (Shared),2.604,2.0,0,4.0,Strict Recycler,9.0,Cat (Indoor),High (5+ cycles/wk),0.946,4,Streetwear / Heavy Denim,Sometimes (3-6/yr),2.605,Pescatarian,1,No,Rarely (1-2/month),3-4 bottles/day,4.865,13.588
Ferry + Bus,40.5,0,3.848,Desktop Gaming PC,1.0,4.8,Mid-Range Phone (4500 mAh),1,Apartment (Natural Gas),5.164,2.0,2,4.7,Sometimes,16.0,None,High (5+ cycles/wk),2.167,4,Vintage / Thrift,Rarely (1-2/yr),0.601,Vegetarian,1,Yes,Frequently (3+/week),3-4 bottles/day,4.707,16.487
Bus Only,16.4,2,3.092,High-End Gaming Laptop,8.7,4.8,Flagship Phone (5000 mAh),3,Family Home (High Usage),7.424,1.0,0,2.7,Never,8.0,None,Dormitory / Outsourced,1.072,2,Fast Fashion,Frequently (monthly),1.014,Moderate Meat,2,No,Sometimes (1-2/week),Tap / Filtered (0),5.52,18.121
